bambino, bambini
piatto, piatti
piazza, piazze
piede, piedi
pioggia, piogge
piscina, piscine
più, più
pittura, pitture
piatto, piatti
polizia, polizie
popolo, popoli
porta, porte
posto, posti
pranzo, pranzi
prezzo, prezzi
prigione, prigioni
principio, principi
prodotto, prodotti
programma, programmi
promessa, promesse
proposta, proposte
proverbio, proverbi
punto, punti
quadro, quadri
qualità, qualità
quercia, querce
raccoglitore, raccoglitori
ragazza, ragazze
ragione, ragioni
regalo, regali
regina, regine
regno, regni
risposta, risposte
ristorante, ristoranti
risultato, risultati
rivista, riviste
roccia, rocce
romanzo, romanzi
rosa, rose
sabbia, sabbie
sacco, sacchi
salotto, salotti
sasso, sassi
scaffale, scaffali
scatola, scatole
scheda, schede
schermo, schermi
scienza, scienze
scoglio, scogli
sconto, sconti
scuola, scuole
sedia, sedie
segno, segni
segreto, segreti
sensazione, sensazioni
serata, serate
sfida, sfide
sigaretta, sigarette
silenzio, silenzi
sinistra, sinistre
sistema, sistemi
soldato, soldati
sole, soli
soluzione, soluzioni
sorpresa, sorprese
sorriso, sorrisi
sotto, sotto
spada, spade
spalla, spalle
specchio, specchi
spesa, spese
spiaggia, spiagge
spiegazione, spiegazioni
spina, spine
spina, spine
sport, sport
spruzzo, spruzzi
squadra, squadre
stadio, stadi
stella, stelle
storia, storie
strada, strade
studio, studi
succo, succhi
sudore, sudori
suono, suoni
tacchino, tacchini
tappeto, tappeti
telefono, telefoni
tema, temi
tempo, tempi
tesoro, tesori
testa, teste
tetto, tetti
timbro, timbri
titolo, titoli
tomba, tombe
torre, torri
torta, torte
tradizione, tradizioni
trattore, trattori
treno, treni
trovare, trovare
tuta, tute
università, università
vacanza, vacanze
valigia, valigie
vapore, vapori
vaso, vasi
vento, venti
viaggio, viaggi
vicino, vicini
villa, ville
vino, vini
vita, vite
vittoria, vittorie
volontà, volontà
volpe, volpi
voto, voti
zaino, zaini
zampa, zampe
zio, zii
zucca, zucche
zanzara, zanzare
cervello, cervelli
braccio, braccia
torre, torri
fuoco, fuochi
occhiale, occhiali
colore, colori
frutto, frutti
bottiglia, bottiglie
